subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050030052006,50,30,0.05,0.2,0.0322886168637357,0.16237185592189,1.08163264218711e-07,92
sim050030052506,50,30,0.05,0.25,0.00833633769069038,0.244182628923649,1.08163262511538e-07,96
sim050030053006,50,30,0.05,0.3,0.0177710922604996,0.204439159796541,1.08163262973943e-07,98
sim050030053506,50,30,0.05,0.35,0.0469772322836049,0.101835282176771,1.01632653103092e-07,96
sim050030054006,50,30,0.05,0.4,0.0796461051962386,0.0541077323170131,1.01632652912632e-07,90
sim050030054506,50,30,0.05,0.45,0.0257882767037883,0.181700188900183,1.08163264147954e-07,98
sim050030055006,50,30,0.05,0.5,0.14115191797011,0.0728616612870341,0.306122442923928,70
sim050030055506,50,30,0.05,0.55,0.730859591114395,0.0302366922345019,0.0204081601979184,8
sim050030056006,50,30,0.05,0.6,0.756465344841834,0.0484475941707671,0.0204081616374421,16
sim050030056506,50,30,0.05,0.65,0.733376826428268,0.0347282943947262,0.020408160939595,8
sim050030057006,50,30,0.05,0.7,0.699193350345176,0.0230974298559401,0.0204081614762576,10
sim050030057506,50,30,0.05,0.75,0.806622895145834,0.0756043903685905,0.0204081644713011,6
sim050030058006,50,30,0.05,0.8,0.967969428092442,0.0433373411474224,0.0204081599467872,12
sim050030058506,50,30,0.05,0.85,0.961984908428257,0.0341757288235203,0.0204081626516391,16
sim050030059006,50,30,0.05,0.9,0.95719770721121,0.107256211869317,1.01632653107421e-07,8
sim050030059506,50,30,0.05,0.95,0.992852767654149,0.0497833313893777,1.32653054666548e-07,6
sim050030950506,50,30,0.95,0.05,0.0400924566728766,0.0718584487392089,0.0204082818892707,10
sim050030951006,50,30,0.95,0.1,0.0105080228153496,0.0112450960296304,0.0204081605144025,12
sim050030951506,50,30,0.95,0.15,0.0186119709205182,0.052676223392258,0.0204081609535799,12
sim050030952006,50,30,0.95,0.2,0.257639461933584,0.0399954435841509,0.0204081615755488,2
sim050030952506,50,30,0.95,0.25,0.209576534000052,0.0645655121803449,0.0204081582334547,6
sim050030953006,50,30,0.95,0.3,0.294978128221545,0.0270810415772922,0.0204081599434664,8
sim050030953506,50,30,0.95,0.35,0.276272036001636,0.0334542556630488,0.0204081620481362,6
sim050030954006,50,30,0.95,0.4,0.390342144399974,0.00586827797427594,0.0204081648890995,16
sim050030954506,50,30,0.95,0.45,0.288020176925475,0.0284063895164354,0.0204081604865782,2
sim050030955006,50,30,0.95,0.5,0.500264993051936,0.00611927332310789,0.127016446131894,52
sim050030955506,50,30,0.95,0.55,0.575465690067205,0.00219099630360276,1.32653053009753e-07,92
sim050030956006,50,30,0.95,0.6,0.950551260217385,0.0550062912493383,1.0032654015508e-07,94
sim050030956506,50,30,0.95,0.65,0.996589272421004,0.289863931371172,1.08163263373334e-07,98
sim050030957006,50,30,0.95,0.7,0.957821019535419,0.162749928560262,1.08163264098e-07,90
sim050030957506,50,30,0.95,0.75,0.9724177224134,0.182008980265545,1.08163264221806e-07,94
sim050030958006,50,30,0.95,0.8,0.932369523063387,0.0765192888568794,1.08163264244456e-07,86
sim050030958506,50,30,0.95,0.85,0.958383925710546,0.139603631421556,1.01632652868148e-07,94
sim050030959006,50,30,0.95,0.9,0.970803541924793,0.180400165173631,1.08163264194407e-07,96
sim050030959506,50,30,0.95,0.95,0.971479188278112,0.181617587669395,1.08163264172606e-07,96
sim050110050506,50,110,0.05,0.05,0.0208776139280134,0.414214448911219,1.10604551147521e-07,78
sim050110051006,50,110,0.05,0.1,0.0731413488565253,0.382456212108734,1.57997715132332e-07,92
sim050110051506,50,110,0.05,0.15,0.118940664407555,0.0152033929879974,0.0204081613412207,86
sim050110052006,50,110,0.05,0.2,0.128988504358822,0.20799804084324,1.00495278459624e-07,90
sim050110052506,50,110,0.05,0.25,0.171027546161271,0.00217123979521185,1.3265305558756e-07,78
sim050110053006,50,110,0.05,0.3,0.277351491894075,0.000169918907112636,1.05224489160058e-07,78
sim050110053506,50,110,0.05,0.35,0.285800159855174,0.00120780151055567,1.32653054555778e-07,80
sim050110054006,50,110,0.05,0.4,0.380350606407112,7.80420727352386e-05,1.08163264259913e-07,76
sim050110054506,50,110,0.05,0.45,0.481295793873227,0.000169570091153777,9.16324495479137e-07,64
sim050110055006,50,110,0.05,0.5,0.49976579625931,0.000246091017396343,0.228957304215086,72
sim050110055506,50,110,0.05,0.55,0.587181214901097,0.000865739701178358,0.0204081603080556,30
sim050110056006,50,110,0.05,0.6,0.641671197197423,0.00136174982622286,0.0204081628498862,30
sim050110056506,50,110,0.05,0.65,0.673377066803153,0.00229605268167387,2.63265209937054e-07,30
sim050110057006,50,110,0.05,0.7,0.740017408668528,0.00334351515434471,0.0204081603573372,40
sim050110057506,50,110,0.05,0.75,0.822321516872582,0.0277347109733693,1.09004386214039e-07,32
sim050110058006,50,110,0.05,0.8,0.855677481598226,0.00373814623072831,0.0408163243423516,46
sim050110058506,50,110,0.05,0.85,0.850434323695106,0.00674642458571504,0.0408163226664038,50
sim050110059006,50,110,0.05,0.9,0.904074071690694,0.00308663332235327,0.0204081615052643,34
sim050110059506,50,110,0.05,0.95,0.979132974733547,0.266978023730322,0.0500101079803006,48
sim050110950506,50,110,0.95,0.05,0.0174514381052671,0.00692385672308202,1.08163264275351e-07,50
sim050110951006,50,110,0.95,0.1,0.0605477869979572,0.00904681740881156,1.32653054429315e-07,52
sim050110951506,50,110,0.95,0.15,0.120361179917665,0.0122310971171304,1.0874310109614e-07,42
sim050110952006,50,110,0.95,0.2,0.0908215217684566,0.00890803544971179,1.08163269904029e-07,34
sim050110952506,50,110,0.95,0.25,0.27324139094408,0.00146368245115097,1.08163264275177e-07,40
sim050110953006,50,110,0.95,0.3,0.272717863216176,0.00116883783894799,0.0204081598010804,34
sim050110953506,50,110,0.95,0.35,0.282794005393822,0.00344564200625416,1.32653054597219e-07,30
sim050110954006,50,110,0.95,0.4,0.414221131990907,0.00154515289606934,0.0204081609310537,28
sim050110954506,50,110,0.95,0.45,0.468462160803191,0.00217736524677347,1.08829363386269e-07,30
sim050110955006,50,110,0.95,0.5,0.476594588005212,0.0692739415690717,8.96240565471665e-07,40
sim050110955506,50,110,0.95,0.55,0.594354107383843,0.000795831838804659,1.26122444063315e-07,74
sim050110956006,50,110,0.95,0.6,0.519095431770733,0.000174957777529238,1.3265305463381e-07,82
sim050110956506,50,110,0.95,0.65,0.663641249081414,0.00174021260331424,1.08484045399481e-07,78
sim050110957006,50,110,0.95,0.7,0.731920672284336,0.00275310809097606,1.0653061139736e-07,84
sim050110957506,50,110,0.95,0.75,0.799980618856222,0.00218028798601966,1.32653054397254e-07,76
sim050110958006,50,110,0.95,0.8,0.841021844740288,0.237289570562925,1.17960140438881e-07,82
sim050110958506,50,110,0.95,0.85,0.91937581792401,0.0696408958188504,1.08895041521688e-07,84
sim050110959006,50,110,0.95,0.9,0.935134016947868,0.142710758095749,1.45823308201642e-07,90
sim050110959506,50,110,0.95,0.95,0.986240989927616,0.595421608887304,1.12896756511942e-07,82
sim050160050506,50,160,0.05,0.05,0.187264028058957,0.07363272954005,1.03190786756756e-07,66
sim050160051006,50,160,0.05,0.1,0.0598175096342636,0.0778466947445709,1.08651122432012e-07,68
sim050160051506,50,160,0.05,0.15,0.0970407871163948,0.00395128045726215,1.08163264254653e-07,80
