"","subID","N","sigma","H_true","H_subj","noise","lapse","H_subj_EST_avg","H_subj_EST_stder","noise_EST_avg","noise_EST_stder","lapse_EST_avg","lapse_EST_stder","pct_avg","pct_stder"
"157981","150_160_0.05_0.65_1.5_0.15",150,160,0.05,0.65,1.5,0.15,0.65434092108529,0.0553609267530092,0.781865941398162,0.520566823043284,0.17301272064596,0.0586592393576647,0.482666666666667,0.00889999306422255
"157991","150_160_0.05_0.65_2_0.15",150,160,0.05,0.65,2,0.15,0.550506952252506,0.113582467223643,3.1026505939723,1.314298679859,0.186996295728635,0.0553927332072467,0.501333333333334,0.00936502555809133
"158001","150_160_0.05_0.65_2.5_0.15",150,160,0.05,0.65,2.5,0.15,0.557465274096592,0.0890937508910497,0.623154233959481,0.460406277840379,0.300748406059693,0.0520587371102813,0.490666666666667,0.0103851746182648
"158011","150_160_0.05_0.65_3_0.15",150,160,0.05,0.65,3,0.15,0.435081603584384,0.095575608356443,1.78359928155961,1.04108632296822,0.173340526196129,0.0676407571926745,0.517333333333333,0.0118509258897542
"158021","150_160_0.05_0.65_3.5_0.15",150,160,0.05,0.65,3.5,0.15,0.417687714610435,0.0831482666731695,1.67436286774826,0.945804355391734,0.150583490815881,0.0521549312038335,0.475333333333333,0.0102342923908173
"158031","150_160_0.05_0.65_4_0.15",150,160,0.05,0.65,4,0.15,0.587481067544362,0.0561495620987921,0.571732037975452,0.369834146216285,0.199938316724466,0.0681344555920123,0.472,0.0159876495543155
"158041","150_160_0.05_0.65_4.5_0.15",150,160,0.05,0.65,4.5,0.15,0.429363152656101,0.101267063416853,2.09657452704746,0.995978828734313,0.184483304328632,0.0603234667477539,0.518,0.0109792171795872
"158051","150_160_0.05_0.65_5_0.15",150,160,0.05,0.65,5,0.15,0.584355588545838,0.0706490130614699,2.29644742556186,0.936195986116292,0.107608679796184,0.0356372301207417,0.486,0.011693619659487
"158061","150_160_0.05_0.65_5.5_0.15",150,160,0.05,0.65,5.5,0.15,0.530362823467741,0.0774466884700451,0.836307331993388,0.593395503100014,0.213147093715899,0.0626153889741353,0.492666666666667,0.0128601211522047
"158071","150_160_0.05_0.65_6_0.15",150,160,0.05,0.65,6,0.15,0.549119700177996,0.0627047046425375,0.246403872271483,0.154744953426011,0.176613381438005,0.0591351254028277,0.5,0.0134439852997815
"158081","150_160_0.05_0.65_0.01_0.2",150,160,0.05,0.65,0.01,0.2,0.642016587690671,0.0116411347071546,0.00804846624899266,0.00298201871897233,0.17900102022663,0.0100120513387528,0.427333333333333,0.0103016239879993
"158091","150_160_0.05_0.65_0.5_0.2",150,160,0.05,0.65,0.5,0.2,0.535223830044572,0.0589314140436104,0.150337595527486,0.0728263688503554,0.161250178895835,0.0635356869067296,0.460666666666667,0.0115662343819317
"158101","150_160_0.05_0.65_1_0.2",150,160,0.05,0.65,1,0.2,0.689954883976707,0.0779056544586949,0.869957183436007,0.560853399189833,0.282982579443203,0.0598550495608917,0.497333333333333,0.00954262691270398
"158111","150_160_0.05_0.65_1.5_0.2",150,160,0.05,0.65,1.5,0.2,0.561872760229286,0.0991664731261083,1.67615911675684,0.873808124889692,0.20692741875711,0.0667286209019669,0.513333333333333,0.0124523784232195
"158121","150_160_0.05_0.65_2_0.2",150,160,0.05,0.65,2,0.2,0.663485398035594,0.0787618786677551,1.66717928733056,0.890871069974513,0.149510151059483,0.0592281487500863,0.496,0.00826714455010585
"158131","150_160_0.05_0.65_2.5_0.2",150,160,0.05,0.65,2.5,0.2,0.517731422667828,0.0634674058695234,0.0466037549064898,0.0290779015288857,0.33495976022982,0.0475494421171503,0.495333333333333,0.00855194729106391
"158141","150_160_0.05_0.65_3_0.2",150,160,0.05,0.65,3,0.2,0.633293237680156,0.0935651706785423,1.73906837629463,0.745834496060884,0.12007727255522,0.05480547765632,0.486666666666667,0.0143673154446619
