ID,trial,block,sigma,H_true,H_subjective,noise_in_DV,lapse_rate,pct
A1DJDT4B5B19Q2,T2,2,140,0.05,0.104072887302844,1.06742713312934,0.0116611296877331,81
A1DJDT4B5B19Q2,T2,4,140,0.2,0.000408668008917825,3.92322679274698,3.17563904312874e-05,69.5
A1DJDT4B5B19Q2,T2,3,33,0.2,0.0984448245066608,1.05815036836867,0.00537132604475388,98
A1DJDT4B5B19Q2,T2,1,33,0.05,0.0658376814127023,1.93329971576895,0.0143539025413348,97.5
A1DJDT4B5B19Q2,T2,5,33,0.95,0.167391840842428,0.916149778489002,0.0288739188087741,95.5
A1DVKS3R9SLQ1H,T1,3,33,0.2,0.407312584449941,0.65378077820573,1.0210979799359e-07,97.9899497487437
A1DVKS3R9SLQ1H,T1,1,33,0.05,0.140216254866762,1.24241817481057,1.02222134706992e-07,99
A1DVKS3R9SLQ1H,T1,5,33,0.95,0.603290882927445,0.522798427999122,0.00506283083574385,99
A1DVKS3R9SLQ1H,T1,6,140,0.95,0.497338530928642,0.0952399390669412,1.14674372604041e-07,63.5
A1DVKS3R9SLQ1H,T1,2,140,0.05,0.48696398521475,0.057471665364853,0.00978799747180944,70
A1DVKS3R9SLQ1H,T1,4,140,0.2,0.466196270856172,0.0758954508491192,0.0182397891456027,70
A1DVKS3R9SLQ1H,T2,6,140,0.95,0.497028294631181,0.0287691061129322,0.00551719625018997,67.8391959798995
A1DVKS3R9SLQ1H,T2,2,140,0.05,0.491061328464923,0.119874970675018,1.16178087266368e-07,72.5
A1DVKS3R9SLQ1H,T2,4,140,0.2,0.489574274241334,0.114423392846139,1.1340793891683e-07,68.5
A1DVKS3R9SLQ1H,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1DVKS3R9SLQ1H,T2,1,33,0.05,0.764483007388733,0.550270690550919,1.02079452404702e-07,97.5
A1DVKS3R9SLQ1H,T2,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A1E1XXSCJHEA3T,T1,2,140,0.05,0.107424942939098,0.807797953219088,0.0161055967729722,89.9497487437186
A1E1XXSCJHEA3T,T1,4,140,0.2,0.0842191805417263,1.3490744352596,2.87274473519384e-07,73
A1E1XXSCJHEA3T,T1,6,140,0.95,0.958977250791085,0.346802071964014,0.083853037717615,89
A1E1XXSCJHEA3T,T1,1,33,0.05,0.337309839869677,0.0489027807394596,0.00500000058408353,98.5
A1E1XXSCJHEA3T,T1,3,33,0.2,0.334987743783839,0.0294791051843688,0.00499999379309329,98.5
A1E1XXSCJHEA3T,T1,5,33,0.95,0.396472527750481,0.400079702135218,1.02029355577351e-07,99
A1E1XXSCJHEA3T,T2,2,140,0.05,0.104488529242047,0.742349560342956,0.0196393337721845,92.964824120603
A1E1XXSCJHEA3T,T2,4,140,0.2,0.0874344798497679,1.207180557704,1.09259176440802e-07,75
A1E1XXSCJHEA3T,T2,6,140,0.95,0.98611966776691,0.00881311794152408,0.304999994846327,62.5
A1E1XXSCJHEA3T,T2,1,33,0.05,0.337008368867678,0.0445033663020376,0.00499999411800939,98.5
A1E1XXSCJHEA3T,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1E1XXSCJHEA3T,T2,5,33,0.95,0.228586573334463,0.0309170773896867,1.0999993535512e-07,99.5
A1HQL1FCG3DL81,T1,2,140,0.05,0.328377901865001,0.410092202687139,1.11687507970282e-07,77.3869346733668
A1HQL1FCG3DL81,T1,4,140,0.2,0.122069726593099,1.05297958817563,1.27987015124644e-07,77
A1HQL1FCG3DL81,T1,6,140,0.95,0.956152176133972,0.366288731618429,0.115699211669722,86.5
A1HQL1FCG3DL81,T1,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A1HQL1FCG3DL81,T1,3,33,0.2,0.336418554427487,0.029406035735677,0.00499999389086874,98.5
A1HQL1FCG3DL81,T1,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1HQL1FCG3DL81,T2,2,140,0.05,0.103677407164295,0.751501348418669,1.57945542063985e-07,90.4522613065327
A1HQL1FCG3DL81,T2,4,140,0.2,0.116167182955503,1.18379620455524,1.10417509213269e-07,74
A1HQL1FCG3DL81,T2,6,140,0.95,0.971447783648074,0.372577345400338,0.0520402697429188,86.5
A1HQL1FCG3DL81,T2,1,33,0.05,0.195359837945787,0.950639762186474,0.00516961551186362,98.5
A1HQL1FCG3DL81,T2,3,33,0.2,0.245950699171666,0.67945806040594,1.02081388410005e-07,98.5
A1HQL1FCG3DL81,T2,5,33,0.95,0.228586573334463,0.0309170773896867,1.0999993535512e-07,99.5
A1IU5OP7BBZHZ7,T1,3,33,0.2,0.658959139536183,0.0109006921880413,1.10050249917714e-07,97.9899497487437
A1IU5OP7BBZHZ7,T1,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A1IU5OP7BBZHZ7,T1,5,33,0.95,0.996390572322456,2.66637182788488,0.00962393914737065,97.5
A1IU5OP7BBZHZ7,T1,6,140,0.95,0.472545883331157,0.122909476087745,0.0972942311048861,66.5
A1IU5OP7BBZHZ7,T1,2,140,0.05,0.0916503743395512,0.932843391464804,0.0382319080774304,86.5
A1IU5OP7BBZHZ7,T1,4,140,0.2,0.139245126448081,0.935819225010173,1.06128574961926e-07,70.5
A1IU5OP7BBZHZ7,T2,3,33,0.2,0.271858795848701,0.0147099338745208,1.10053783826896e-07,98.9949748743718
A1IU5OP7BBZHZ7,T2,1,33,0.05,0.0487781574958474,0.0994792119026568,1.01999999914725e-07,99.5
A1IU5OP7BBZHZ7,T2,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1IU5OP7BBZHZ7,T2,6,140,0.95,0.963397515827287,0.456071680555677,0.240003558383252,70
A1IU5OP7BBZHZ7,T2,2,140,0.05,0.085007653487533,0.694812472684506,0.0969478489646385,85.5
A1IU5OP7BBZHZ7,T2,4,140,0.2,0.00052809801344927,4.73436510589945,6.95692479166367e-07,69.5
A1IXQS0AB02CPA,T1,3,33,0.2,0.616511767027625,0.0181705769430005,0.00502511968235479,97.4874371859297
A1IXQS0AB02CPA,T1,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1IXQS0AB02CPA,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
