subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050110051000,50,110,0.05,0.1,0.0493555423076121,1.49818188588966,4.14092277757678e-07,80
sim050110051500,50,110,0.05,0.15,0.0727777710092604,1.1706561982004,1.40770828021918e-07,86
sim050110052000,50,110,0.05,0.2,2.01391176185194e-12,9.93511032854209,0.000931060210685297,86
sim050110052500,50,110,0.05,0.25,0.0736710996448771,2.34266004854733,2.48856528337648e-07,72
sim050110053000,50,110,0.05,0.3,0.000295404587123524,4.37931560691965,1.2320955876703e-07,78
sim050110053500,50,110,0.05,0.35,0.0356134087559528,1.4165512458328,0.0396523053350882,74
sim050110054000,50,110,0.05,0.4,0.0128469242463359,0.41892664355246,0.186448929080291,76
sim050110054500,50,110,0.05,0.45,0.107215086494324,1.01253736703855,1.52454167059012e-07,78
sim050110055000,50,110,0.05,0.5,0.996474369114736,0.00185262059699045,0.379999957934011,46
sim050110055500,50,110,0.05,0.55,0.931759121708466,0.847613773483053,0.241136984605364,44
sim050110056000,50,110,0.05,0.6,0.908200689547795,4.50581510753043,5.78511460705233e-07,34
sim050110056500,50,110,0.05,0.65,0.966344722100255,2.79442058684752,2.55796975123974e-07,32
sim050110057000,50,110,0.05,0.7,0.967441816293534,0.00284226911273784,0.279999997323054,30
sim050110057500,50,110,0.05,0.75,0.936437524733507,0.338841363330182,0.17113952582478,40
sim050110058000,50,110,0.05,0.8,0.967289815032785,2.16066334055885,4.80903064767884e-07,36
sim050110058500,50,110,0.05,0.85,0.99879593810716,8.45985090247838,2.58521012462019e-06,28
sim050110059000,50,110,0.05,0.9,0.973038192334886,0.254374142464514,0.182766397715272,38
sim050110059500,50,110,0.05,0.95,0.972137532239254,0.0147772661336932,0.139999993182695,44
sim0501100510000,50,110,0.05,1,0.999999999986319,1.41708313055755,1.22544769966509e-07,42
sim050110950000,50,110,0.95,0,4.12213739951225e-09,1.70804137968136,1.67007142450719e-06,50
